,linear_acc_x,linear_acc_y,linear_acc_z,pitch,roll,yaw
count,7416.0,7416.0,7416.0,7416.0,7416.0,7416.0
mean,0.12435611435651892,-0.21337427853049618,10.18553150561161,-0.7141294357925118,1.1826135384320609,-19.648799644176513
std,0.08708753893094427,0.13732378506144852,0.4151716044125635,0.9286903001101773,0.862534996937157,63.909995066532616
min,-1.0244503319263458,-2.6456735134124756,0.11971378326416016,-4.349552402149683,-2.644096001306166,-115.57767559919556
25%,0.05776187591254711,-0.2564866840839386,10.07772696018219,-0.9954264335523693,0.9753986913998789,-60.76336497423252
50%,0.12809369713068008,-0.21099545806646347,10.181952476501465,-0.893128155712576,1.1890850282455623,-21.4963000143631
75%,0.18376058340072632,-0.1678985171020031,10.309447765350342,-0.3145150034360133,1.4299726468216742,54.73215246462907
max,0.6919454336166382,2.478373646736145,18.142915725708008,4.464834469395274,5.43202596813587,71.72236506380338
