,linear_acc_x,linear_acc_y,linear_acc_z,pitch,roll,yaw
count,7401.0,7401.0,7401.0,7401.0,7401.0,7401.0
mean,0.13571353945670822,-0.22800428159534775,10.175005171979025,-0.7204488087057542,1.3029342234546732,-19.312020637884746
std,0.11128729349046422,0.14263752461014742,0.4302034832501163,0.857454024965527,0.7413701009759791,69.43265372110173
min,-1.493129551410675,-3.5435266494750977,-5.943787097930908,-5.197878972538192,-1.5645974095903443,-179.80715123026448
25%,0.06344828195869923,-0.26157451421022415,10.076305389404297,-1.0290277626176585,1.0996328154502557,-40.52525126116563
50%,0.15113858878612518,-0.22835394740104675,10.171178340911865,-0.9420703831384049,1.2747037973691993,-23.865418250141673
75%,0.1936369687318802,-0.18376059085130692,10.281315326690674,-0.3625097021970616,1.4770458036532996,65.53784733350838
max,1.8807027339935303,2.631607174873352,14.558088302612305,3.995910393248988,4.58004610031505,179.58113042772635
